Year,quarter,citymarketid_1,citymarketid_2,city1,city2,airportid_1,airportid_2,airport_1,airport_2,nsmiles,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low,orig.id
2024,1,31703,31123,"New York City, NY (Metropolitan Area)","St. Louis, MO",12478,15016,JFK,STL,929,13,288.43,AA,0.5652,283.84,AA,0.5652,283.84,1149
2024,1,30977,32467,"Chicago, IL","Miami, FL (Metropolitan Area)",13930,11697,ORD,FLL,1197,2016,214.88,UA,0.3986,269.72,NK,0.348,126.1,751
2024,1,32467,30559,"Miami, FL (Metropolitan Area)","Seattle, WA",13303,14747,MIA,SEA,2724,400,346.59,AS,0.4662,332.52,AS,0.4662,332.52,1410
2024,1,31454,30852,"Orlando, FL","Washington, DC (Metropolitan Area)",13204,12264,MCO,IAD,787,965,205.51,UA,0.981,204.13,UA,0.981,204.13,1070
2024,1,32575,32457,"Los Angeles, CA (Metropolitan Area)","San Francisco, CA (Metropolitan Area)",12954,14831,LGB,SJC,372,396,150.17,WN,0.9969,150.15,WN,0.9969,150.15,1572
2024,1,30423,30852,"Austin, TX","Washington, DC (Metropolitan Area)",10423,11278,AUS,DCA,1342,412,266.36,WN,0.6153,248.94,WN,0.6153,248.94,266
2024,1,33485,31703,"Madison, WI","New York City, NY (Metropolitan Area)",13485,12953,MSN,LGA,819,96,363.74,DL,0.6819,383.9,UA,0.1796,306.23,1799
2024,1,30977,30852,"Chicago, IL","Washington, DC (Metropolitan Area)",13232,12264,MDW,IAD,622,7,173.97,WN,0.6094,144.52,WN,0.6094,144.52,708
2024,1,31066,30466,"Columbus, OH","Phoenix, AZ",11066,14107,CMH,PHX,1670,546,310.19,AA,0.5118,337.22,WN,0.3969,261.86,867
2024,1,30792,31703,"Buffalo, NY","New York City, NY (Metropolitan Area)",10792,12197,BUF,HPN,326,1,172.88,AA,0.875,163.57,AA,0.875,163.57,647
2024,1,30721,31453,"Boston, MA (Metropolitan Area)","Houston, TX",13296,12191,MHT,HOU,1609,10,279.39,WN,0.9891,278.69,WN,0.9891,278.69,523
2024,1,30721,34685,"Boston, MA (Metropolitan Area)","Savannah, GA",14307,14685,PVD,SAV,917,56,184.53,MX,0.3333,90.89,MX,0.3333,90.89,630
2024,1,30397,31703,"Atlanta, GA (Metropolitan Area)","New York City, NY (Metropolitan Area)",10397,11618,ATL,EWR,795,2071,189.63,UA,0.5162,180.37,UA,0.5162,180.37,239
2024,1,34614,30852,"Salt Lake City, UT","Washington, DC (Metropolitan Area)",14869,12264,SLC,IAD,1865,272,430.66,DL,0.6069,473.97,UA,0.2328,418.13,1879
2024,1,31066,31453,"Columbus, OH","Houston, TX",11066,12266,CMH,IAH,1000,233,305.13,UA,0.7402,316.81,NK,0.0561,174.82,873
2024,1,31057,32457,"Charlotte, NC","San Francisco, CA (Metropolitan Area)",11057,14831,CLT,SJC,2296,52,356,AA,0.4499,394.04,WN,0.2431,272.64,855
2024,1,35096,30852,"Syracuse, NY","Washington, DC (Metropolitan Area)",15096,11278,SYR,DCA,298,128,218.86,AA,0.939,219.43,UA,0.0146,215.33,1891
2024,1,32467,33316,"Miami, FL (Metropolitan Area)","Omaha, NE",11697,13871,FLL,OMA,1393,155,251.42,WN,0.4279,222.75,WN,0.4279,222.75,1448
2024,1,34262,32457,"Palm Springs, CA","San Francisco, CA (Metropolitan Area)",14262,14831,PSP,SJC,421,150,172.26,WN,0.9919,171.98,WN,0.9919,171.98,1852
2024,1,31453,33192,"Houston, TX","Sacramento, CA",12266,14893,IAH,SMF,1624,207,323.24,UA,0.5718,353.64,NK,0.1074,165.59,1030
2024,1,32575,31703,"Los Angeles, CA (Metropolitan Area)","New York City, NY (Metropolitan Area)",12892,11618,LAX,EWR,2510,4048,358.13,UA,0.5892,422.69,NK,0.1056,142.74,1541
2024,1,30721,30852,"Boston, MA (Metropolitan Area)","Washington, DC (Metropolitan Area)",13296,11278,MHT,DCA,418,135,250.84,AA,0.9715,251.56,UA,0.0179,240.41,489
2024,1,32575,30852,"Los Angeles, CA (Metropolitan Area)","Washington, DC (Metropolitan Area)",12954,10821,LGB,BWI,2329,46,238.74,WN,0.9687,238.07,WN,0.9687,238.07,1513
2024,1,32457,30559,"San Francisco, CA (Metropolitan Area)","Seattle, WA",13796,14747,OAK,SEA,696,910,161.98,WN,0.5515,154.5,WN,0.5515,154.5,1381
2024,1,30198,33195,"Pittsburgh, PA","Tampa, FL (Metropolitan Area)",14122,15304,PIT,TPA,878,805,178.68,WN,0.5775,198.42,NK,0.2362,108.74,176
