"","year","quarter","statecode1","mean.miles","median.miles","sd.miles","min.miles","max.miles","iqr.miles","q1.miles","q3.miles"
"249",2020,3,"IA",1230.58333333333,1252,224.970890372847,910,1447,357.75,1089.25,1447
"250",2020,3,"ID",1067.29411764706,749,566.966904314736,523,2059,760,688,1448
"251",2020,3,"IL",983.137404580153,801,501.12186086449,235,1855,819,621,1440
"252",2020,3,"IN",1175.5,930,570.398336169349,516,1943,1113,701,1814
"253",2020,3,"KY",687.181818181818,699,146.339890789776,495,910,132,597,729
"254",2020,3,"LA",1273.07142857143,1218,400.299015984054,488,1911,226.5,1053,1279.5
"255",2020,3,"MA",1318.29310344828,1142,817.539612275775,192,2704,1364.25,626.75,1991
"256",2020,3,"ME",493,493,0,493,493,0,493,493
"257",2020,3,"MI",1218.47727272727,1092,643.129032900732,409,2079,1357,540,1897
"258",2020,3,"MN",1178.5,1057,247.492890340775,936,1589,241.5,1057,1298.5
"259",2020,3,"MO",1129.35714285714,1148,231.617055325078,738,1499,396,967,1363
"260",2020,3,"MT",1245.60869565217,1027,429.72102357549,807,1902,897,908,1805
"261",2020,3,"NC",1182.22222222222,677,819.012428834788,255,2400,1550,575,2125
"262",2020,3,"ND",1225,1225,0,1225,1225,0,1225,1225
"263",2020,3,"NE",1182.8,1113.5,184.126043785229,1025,1433,344.25,1028,1372.25
"264",2020,3,"NM",1145.70833333333,896,543.299299303053,328,1861,1040.75,677,1717.75
"265",2020,3,"NV",1499.33333333333,2106,943.50997711899,236,2286,1937,345,2282
"266",2020,3,"NY",1350.58783783784,1077,884.287490797924,249,2608,1980,463,2443
"267",2020,3,"OH",1202.015625,1012,652.041457843029,314,2187,1369,626,1995
"268",2020,3,"OK",1217.85714285714,1180,198.000360750032,833,1384,204,1180,1384
"269",2020,3,"OR",1097.63157894737,776,695.710844350847,569,2497,220,751,971
"270",2020,3,"PA",1907.6,2254,715.874476892888,878,2521,1245.5,1208.75,2454.25
"271",2020,3,"SC",931.886363636364,643,636.842582714569,399,2206,369.75,573,942.75
"272",2020,3,"TN",1090.27272727273,831,519.78212625463,550,1969,831.75,706.75,1538.5
"273",2020,3,"TX",1043.68227424749,1067,417.678462504889,190,1894,675,715,1390
"274",2020,3,"UT",1325.71428571429,1865,679.827604197249,599,1888,1266,599,1865
"275",2020,3,"VA",1636.3,2029,856.269577571038,662,2520,1728,729.75,2457.75
"276",2020,3,"WA",2265.42857142857,2335,158.572651217938,2111,2520,224,2111,2335
"277",2020,3,"WI",1120.26666666667,777,478.566679436279,641,1845,686,777,1463
"278",2020,3,"WY",1404.41666666667,1784,548.502334184697,785,1894,1109,785,1894
"279",2020,4,"AL",913.4,682,475.945987831953,459,1815,305,597,902
"280",2020,4,"AR",1434.33333333333,1494,146.152887986063,1136,1494,0,1494,1494
"281",2020,4,"AZ",1188.94285714286,1081,544.100982347575,304,1999,1045.5,755.5,1801
"282",2020,4,"CA",1604.19923371648,1756,776.468330227038,370,2510,1471,859,2330
"283",2020,4,"CO",1228.85185185185,1491,413.251804752325,551,1709,797,862,1659
"284",2020,4,"CT",1610.41666666667,1703.5,958.651179174852,326,2527,1612.25,914.75,2527
"285",2020,4,"DC",883,883,0,883,883,0,883,883
"286",2020,4,"FL",1295.78195488722,1068,695.362956656514,192,2724,1130,842,1972
"287",2020,4,"GA",978.243243243243,731,590.709949759393,406,2139,375,577,952
"288",2020,4,"IA",1267,1252,156.033116143123,1090,1447,320,1127,1447
"289",2020,4,"ID",748.5,688,239.238776764329,523,1282,49.75,688,737.75
"290",2020,4,"IL",981.015625,818.5,498.720441223432,235,1855,733.5,621,1354.5
"291",2020,4,"IN",1157.2,973,533.064802189502,516,1943,1113,701,1814
"292",2020,4,"KY",768.266666666667,699,247.918899949925,495,1506,181,699,880
"293",2020,4,"LA",1277.30769230769,1218,416.317664093055,488,1911,302,998,1300
"294",2020,4,"MA",1344.80239520958,1204,806.469355997426,200,2704,1469,636,2105
"295",2020,4,"ME",493,493,0,493,493,0,493,493
"296",2020,4,"MI",1260.13157894737,1145,605.698755338874,409,2079,1334,540,1874
"297",2020,4,"MN",1187.84615384615,1057,255.014328405891,936,1589,249,1057,1306
"298",2020,4,"MO",1129.35714285714,1148,231.617055325078,738,1499,396,967,1363
"299",2020,4,"MT",890.888888888889,908,21.1627292925821,861,908,30,878,908
"300",2020,4,"NC",1025.74418604651,650,766.979111065374,255,2400,1430,519,1949
"301",2020,4,"ND",1161.33333333333,1165,58.6537864648708,1094,1225,98.25,1111.75,1210
"302",2020,4,"NE",1075.57142857143,1037,78.3535941376381,1025,1190,88.5,1025,1113.5
"303",2020,4,"NM",1080.68181818182,896,519.73870599641,328,1861,993,677,1670
"304",2020,4,"NV",1469.23076923077,2106,948.880616629608,236,2286,1971.5,310.5,2282
"305",2020,4,"NY",1399.67346938776,1111,873.387556674767,249,2619,1954,459,2413
"306",2020,4,"OH",1201.31666666667,1012,647.084527920819,314,2187,1345.75,626,1971.75
"307",2020,4,"OK",1093.25,1180,173.5,833,1180,86.75,1093.25,1180
"308",2020,4,"OR",1069.59090909091,776,648.219734870302,569,2497,205,751,956
"309",2020,4,"PA",1907.6,2254,715.874476892888,878,2521,1245.5,1208.75,2454.25
"310",2020,4,"SC",836.25,643,519.444809634681,426,2206,244,601,845
"311",2020,4,"TN",1014.40540540541,803,500.152391191339,550,1969,347,655,1002
"312",2020,4,"TX",1041.29166666667,1067,425.322788176875,190,1944,682,708,1390
"313",2020,4,"UT",1325.71428571429,1865,679.827604197249,599,1888,1266,599,1865
"314",2020,4,"VA",1730.88888888889,2179.5,851.306393235361,662,2520,1772,727.25,2499.25
"315",2020,4,"WA",1801.71428571429,2335,727.621860191523,977,2520,1280,1055,2335
"316",2020,4,"WI",1054.85714285714,1075,410.597300109417,641,1463,820.5,641,1461.5
"317",2021,1,"AL",916.25,651,534.877150184483,459,1815,371.75,593.5,965.25
"318",2021,1,"AR",1494,1494,0,1494,1494,0,1494,1494
"319",2021,1,"AZ",1154.47058823529,1050.5,529.446608479029,304,1999,972.5,711.75,1684.25
"320",2021,1,"CA",1623.30081300813,1776.5,786.653069656082,370,2510,1484,859,2343
"321",2021,1,"CO",1274.78260869565,1491,458.639675225357,551,1810,847,862,1709
"322",2021,1,"CT",1555.63636363636,1194,985.546373614887,326,2527,1808.5,718.5,2527
"323",2021,1,"DC",883,883,0,883,883,0,883,883
"324",2021,1,"FL",1258.88513513514,1068,666.950808736395,192,2724,676,825,1501
"325",2021,1,"GA",973.421052631579,731,583.430471624926,406,2139,375,577,952
"326",2021,1,"IA",1189,1149,92.2050854225393,1090,1327,125,1127,1252
"327",2021,1,"ID",748.5,688,239.238776764329,523,1282,49.75,688,737.75
"328",2021,1,"IL",991.632352941176,864,478.100342928654,235,1855,629.75,646,1275.75
"329",2021,1,"IN",1157.2,973,533.064802189502,516,1943,1113,701,1814
"330",2021,1,"KY",802.9,804.5,302.674908110996,495,1506,349,553.5,902.5
"331",2021,1,"LA",1277.30769230769,1218,416.317664093055,488,1911,302,998,1300
"332",2021,1,"MA",1390.71153846154,1231,805.729803503074,200,2704,1405.5,748.25,2153.75
