"","year","quarter","lms_carrier_name","mean.marketshare","median.marketshare","sd.marketshare","min.marketshare","max.marketshare","iqr.marketshare","q1.marketshare","q3.marketshare"
"88",2021,2,"American Airlines, Inc.",0.706914896988907,0.6857,0.22075433943844,0.265,1,0.43085,0.50405,0.9349
"89",2021,2,"Delta Air Lines, Inc.",0.618623275862069,0.59925,0.173410285627804,0.2637,1,0.237575,0.48955,0.727125
"90",2021,2,"Frontier Airlines, Inc.",0.596483333333333,0.56565,0.142769316264619,0.4525,0.82,0.18485,0.48965,0.6745
"91",2021,2,"Jetblue Airways Corporation",0.6054796875,0.5397,0.194440243548016,0.3476,1,0.246325,0.477125,0.72345
"92",2021,2,"Southwest Airlines",0.76019003021148,0.77565,0.202355039593071,0.2106,1,0.364775,0.5983,0.963075
"93",2021,2,"Spirit Airlines, Inc.",0.506604761904762,0.4439,0.195101177536658,0.263,1,0.2394,0.3805,0.6199
"94",2021,2,"United Air Lines, Inc.",0.709689898989899,0.7206,0.196175489910473,0.2962,1,0.349525,0.529225,0.87875
"95",2021,3,"Alaska Airlines, Inc.",0.619193617021277,0.5787,0.183040834603334,0.3367,1,0.2523,0.4766,0.7289
"96",2021,3,"Allegiant Air LLC ",0.853901818181818,1,0.24903196172298,0.2559,1,0.1888,0.8112,1
"97",2021,3,"American Airlines, Inc.",0.708931683168317,0.69985,0.225320393488451,0.2611,1,0.4394,0.509925,0.949325
"98",2021,3,"Delta Air Lines, Inc.",0.607144573643411,0.58325,0.177847310865566,0.2815,1,0.232675,0.482425,0.7151
"99",2021,3,"Frontier Airlines, Inc.",0.53328,0.5552,0.167771742044277,0.2765,0.8315,0.32375,0.3525,0.67625
"100",2021,3,"Jetblue Airways Corporation",0.626371052631579,0.5841,0.194509311390339,0.2933,1,0.2967,0.477225,0.773925
"101",2021,3,"Southwest Airlines",0.758591142857143,0.7889,0.202831817986773,0.1958,1,0.36855,0.593525,0.962075
"102",2021,3,"Spirit Airlines, Inc.",0.561206666666667,0.5295,0.179101477487192,0.2775,1,0.195,0.4608,0.6558
"103",2021,3,"United Air Lines, Inc.",0.688467181467181,0.6846,0.207428998883194,0.26,1,0.36065,0.51145,0.8721
"104",2021,4,"Alaska Airlines, Inc.",0.59312,0.5817,0.163342817968279,0.2872,0.9769,0.211,0.4877,0.6987
"105",2021,4,"Allegiant Air LLC ",0.892356603773585,1,0.220335912703094,0.2771,1,0,1,1
"106",2021,4,"American Airlines, Inc.",0.681795955882353,0.6611,0.215284532915229,0.2603,1,0.388025,0.4996,0.887625
"107",2021,4,"Casino Express",0.732266666666667,0.6919,0.0776628825973729,0.6831,0.8218,0.06935,0.6875,0.75685
"108",2021,4,"Compania Mexicana De Aviaci",0.487166666666667,0.4923,0.13669643253087,0.3365,0.6311,0.23915,0.36755,0.6067
"109",2021,4,"Delta Air Lines, Inc.",0.588959071729958,0.5415,0.175578908005554,0.258,1,0.1939,0.4822,0.6761
"110",2021,4,"Frontier Airlines, Inc.",0.706425,0.7194,0.295919508200006,0.3043,1,0.540175,0.459825,1
"111",2021,4,"Jetblue Airways Corporation",0.6210859375,0.59235,0.180013768315743,0.3336,0.958,0.2687,0.475975,0.744675
"112",2021,4,"Southwest Airlines",0.756331700288184,0.78395,0.209118154780653,0.2545,1,0.377075,0.5889,0.965975
"113",2021,4,"Spirit Airlines, Inc.",0.507053333333333,0.4231,0.144459533961525,0.3512,0.8067,0.20345,0.3938,0.59725
"114",2021,4,"Sun Country Airlines",0.95362,1,0.0894330587646425,0.795,1,0.0269,0.9731,1
"115",2021,4,"United Air Lines, Inc.",0.707006028368794,0.7251,0.208723982287697,0.2643,1,0.34935,0.542,0.89135
"116",2022,1,"Alaska Airlines, Inc.",0.588062,0.5714,0.171530255426064,0.2759,0.9914,0.251375,0.4634,0.714775
"117",2022,1,"Allegiant Air LLC ",0.920368421052632,1,0.197755724278622,0.3536,1,0,1,1
"118",2022,1,"American Airlines, Inc.",0.672168055555556,0.6524,0.219515563493103,0.2573,1,0.40515,0.48675,0.8919
"119",2022,1,"Casino Express",0.721075,0.7365,0.16320809569381,0.539,0.8723,0.245625,0.605975,0.8516
"120",2022,1,"Compania Mexicana De Aviaci",0.4916375,0.4329,0.182301006481823,0.3175,0.8024,0.2705,0.34845,0.61895
"121",2022,1,"Delta Air Lines, Inc.",0.599375619834711,0.55935,0.189068350350835,0.2728,1,0.253675,0.459275,0.71295
"122",2022,1,"Frontier Airlines, Inc.",0.686392592592593,0.6187,0.285986745155363,0.2386,1,0.5709,0.4276,0.9985
"123",2022,1,"Jetblue Airways Corporation",0.604415151515151,0.5816,0.184761925183921,0.3157,0.971,0.28695,0.464975,0.751925
"124",2022,1,"Southwest Airlines",0.762989481707317,0.8021,0.209312695688101,0.2489,1,0.378825,0.592875,0.9717
