"","year","quarter","lms_carrier_name","mean.fare","median.fare","sd.fare","min.fare","max.fare","iqr.fare","q1.fare","q3.fare"
"195",2023,3,"Southwest Airlines",232.121477428181,224.56,57.519632429289,106.11,550,78.61,189.1,267.71
"196",2023,3,"Spirit Airlines, Inc.",159.102857142857,155.28,40.3907308634362,96.72,250.22,57.9875,131.13,189.1175
"197",2023,3,"United Air Lines, Inc.",249.244261168385,230.33,68.7701519986525,130.09,543.93,82.55,202.84,285.39
"198",2023,4,"Alaska Airlines, Inc.",245.740769230769,234.45,56.91269291716,163.51,390.87,95.08,194.885,289.965
"199",2023,4,"Allegiant Air LLC ",124.964897959184,112.23,37.948237284625,71.37,227.54,50.35,96.52,146.87
"200",2023,4,"American Airlines, Inc.",292.918490153173,283.34,70.7972624461178,160.61,651,98.87,239.2,338.07
"201",2023,4,"Casino Express",132.602,129.015,10.7121766643801,118.23,149.74,15.6325,125.0125,140.645
"202",2023,4,"Compania Mexicana De Aviaci",162.124285714286,154.85,55.4723249532078,85.12,303.37,34.89,132.76,167.65
"203",2023,4,"Delta Air Lines, Inc.",278.045263157895,265.69,78.4823973704953,153.56,713,103.1875,216.4575,319.645
"204",2023,4,"Frontier Airlines, Inc.",166.905555555556,159.21,49.6894407320251,90,289.86,62.5,141.6025,204.1025
"205",2023,4,"Jetblue Airways Corporation",224.170769230769,209.245,66.4772103078167,91.7,504.04,64.1475,182.0175,246.165
"206",2023,4,"Southwest Airlines",241.171631016043,230.385,63.9844222445858,119.1,683,77.5525,196.9325,274.485
"207",2023,4,"Spirit Airlines, Inc.",166.66347826087,166.94,35.5697505050027,103.05,233.54,50.525,141.12,191.645
"208",2023,4,"Sun Country Airlines",144.695,135.03,40.4781937179349,109.83,198.89,47.72,116.0025,163.7225
"209",2023,4,"United Air Lines, Inc.",260.047789115646,246.95,64.9571566932814,143.43,503.78,81.325,212.9825,294.3075
