"","year","quarter","statecode1","mean.marketshare","median.marketshare","sd.marketshare","min.marketshare","max.marketshare","iqr.marketshare","q1.marketshare","q3.marketshare"
"144",2019,4,"NE",0.6482,0.60195,0.188585289533864,0.3994,1,0.180775,0.5384,0.719175
"145",2019,4,"NJ",1,1,NA,1,1,0,1,1
"146",2019,4,"NM",0.7195,0.805,0.211137940692809,0.2963,0.999,0.3549,0.52545,0.88035
"147",2019,4,"NV",0.647616666666667,0.63835,0.220933695910121,0.2664,1,0.2575,0.52315,0.78065
"148",2019,4,"NY",0.743387136929461,0.7552,0.213463758537256,0.2614,1,0.4156,0.5556,0.9712
"149",2019,4,"OH",0.677888275862069,0.6597,0.216114337826919,0.2335,1,0.3846,0.49,0.8746
"150",2019,4,"OK",0.690628571428571,0.6899,0.143617149791679,0.524,0.8872,0.23715,0.56475,0.8019
"151",2019,4,"OR",0.60058,0.6195,0.195022283746998,0.2189,0.9167,0.246325,0.46855,0.714875
"152",2019,4,"PA",0.733753846153846,0.7036,0.211525721900768,0.3895,1,0.3418,0.6207,0.9625
"153",2019,4,"SC",0.738332608695652,0.7583,0.195401717329367,0.3269,1,0.3468,0.57075,0.91755
"154",2019,4,"TN",0.732455555555556,0.75,0.1780258938719,0.3714,1,0.2968,0.5633,0.8601
"155",2019,4,"TX",0.81545220338983,0.91,0.193035039610008,0.2561,1,0.3283,0.65195,0.98025
"156",2019,4,"UT",0.622542857142857,0.6076,0.0813191215140051,0.522,0.7284,0.132,0.55895,0.69095
"157",2019,4,"VA",0.675958823529412,0.6885,0.233714417235072,0.3508,1,0.3484,0.4606,0.809
"158",2019,4,"VT",0.922855555555556,0.9751,0.127056130421864,0.6728,1,0.0415,0.9585,1
"159",2019,4,"WA",0.725975,0.67945,0.196296450785309,0.4565,0.9679,0.376625,0.535925,0.91255
"160",2019,4,"WI",0.712657692307692,0.69425,0.185426949870998,0.3003,1,0.3256,0.557775,0.883375
"161",2020,1,"AL",0.692103846153846,0.7227,0.206610384019331,0.2901,0.9699,0.279,0.55565,0.83465
"162",2020,1,"AR",0.6789125,0.6501,0.159761379541043,0.5212,1,0.174175,0.566,0.740175
"163",2020,1,"AZ",0.661596551724138,0.6757,0.198379453290115,0.3412,1,0.2817,0.5073,0.789
"164",2020,1,"CA",0.622020849420849,0.5919,0.196615035340017,0.2726,1,0.2962,0.46655,0.76275
"165",2020,1,"CO",0.653264285714286,0.60495,0.203787154411498,0.3111,0.9959,0.29565,0.48485,0.7805
"166",2020,1,"CT",0.622782352941176,0.596,0.237477354802764,0.3081,0.9987,0.3398,0.434,0.7738
"167",2020,1,"DC",0.672233333333333,0.5535,0.243206421241984,0.5112,0.952,0.2204,0.53235,0.75275
"168",2020,1,"FL",0.66880652173913,0.64435,0.205465912851786,0.2564,1,0.344075,0.51285,0.856925
"169",2020,1,"GA",0.6536,0.66095,0.168991589427691,0.3658,0.9804,0.238,0.51645,0.75445
"170",2020,1,"IA",0.645958333333333,0.5811,0.246548735664921,0.3233,1,0.38655,0.45835,0.8449
"171",2020,1,"ID",0.675308333333333,0.6767,0.203857594941056,0.3743,1,0.3358,0.485175,0.820975
"172",2020,1,"IL",0.760019708029197,0.7366,0.224760398188898,0.3549,1,0.4487,0.5364,0.9851
"173",2020,1,"IN",0.6872,0.66665,0.181104521255124,0.3618,1,0.24245,0.572675,0.815125
"174",2020,1,"KY",0.753069230769231,0.8541,0.20028878893827,0.3416,1,0.2493,0.6649,0.9142
"175",2020,1,"LA",0.656857142857143,0.62745,0.139567677072868,0.4512,0.8689,0.222175,0.549375,0.77155
"176",2020,1,"MA",0.626925988700565,0.5734,0.212035249541256,0.2655,1,0.3459,0.4587,0.8046
"177",2020,1,"ME",0.854883333333333,0.97275,0.22319911663505,0.4321,1,0.1543,0.822925,0.977225
"178",2020,1,"MI",0.647935555555556,0.6373,0.200984117594532,0.3374,1,0.3155,0.5059,0.8214
"179",2020,1,"MN",0.686528571428571,0.7274,0.155904864623227,0.4199,0.8621,0.2206,0.59855,0.81915
"180",2020,1,"MO",0.685319230769231,0.69865,0.166314790729462,0.3948,1,0.26115,0.563,0.82415
"181",2020,1,"MT",0.645614285714286,0.6078,0.159384039627285,0.4767,1,0.218225,0.5181,0.736325
"182",2020,1,"NC",0.764939130434783,0.79065,0.167242827420704,0.3712,1,0.280275,0.631925,0.9122
"183",2020,1,"ND",0.781583333333333,0.8158,0.243380594268867,0.4908,1,0.416775,0.583225,1
"184",2020,1,"NE",0.67102,0.5714,0.220451046720128,0.4053,1,0.33695,0.516925,0.853875
"185",2020,1,"NJ",1,1,NA,1,1,0,1,1
"186",2020,1,"NM",0.741245833333333,0.77855,0.204018078864652,0.3991,1,0.347675,0.59015,0.937825
"187",2020,1,"NV",0.663037037037037,0.6774,0.236381014381684,0.2613,1,0.29475,0.49215,0.7869
"188",2020,1,"NY",0.735038356164384,0.7246,0.211760751899383,0.2769,1,0.42175,0.5404,0.96215
"189",2020,1,"OH",0.685533576642336,0.6667,0.211724542631587,0.2812,1,0.3509,0.5062,0.8571
"190",2020,1,"OK",0.663925,0.6724,0.131679873810187,0.5023,0.8086,0.150225,0.59305,0.743275
"191",2020,1,"OR",0.591184210526316,0.5688,0.196252992229582,0.2241,1,0.24,0.46895,0.70895
"192",2020,1,"PA",0.751213333333333,0.7105,0.205910361449785,0.4093,1,0.3457,0.63225,0.97795
"193",2020,1,"SC",0.777726086956522,0.839,0.194310467991342,0.3282,1,0.289425,0.63985,0.929275
"194",2020,1,"TN",0.7397225,0.78365,0.170572602013607,0.3706,1,0.286175,0.593875,0.88005
"195",2020,1,"TX",0.828491726618705,0.914,0.180469648547415,0.3636,1,0.290875,0.6874,0.978275
"196",2020,1,"UT",0.5773,0.5755,0.0929816827839405,0.4706,0.6838,0.1696,0.493,0.6626
"197",2020,1,"VA",0.704566666666667,0.7722,0.230565928749241,0.3498,1,0.2996,0.5191,0.8187
"198",2020,1,"VT",0.883785714285714,0.9714,0.176860693094607,0.5273,1,0.1318,0.85605,0.98785
"199",2020,1,"WA",0.770966666666667,0.77615,0.166389391780154,0.5103,0.9651,0.276575,0.663475,0.94005
"200",2020,1,"WI",0.685952380952381,0.6376,0.207175830199972,0.3561,1,0.3556,0.5131,0.8687
"201",2020,1,"WY",0.80498,0.902,0.207170449415719,0.483,1,0.330225,0.61455,0.944775
"202",2020,2,"AL",0.69045,0.6644,0.202142824435072,0.431,0.9934,0.3503,0.50775,0.85805
"203",2020,2,"AR",0.7250625,0.7364,0.241840318849915,0.3018,1,0.332375,0.5862,0.918575
"204",2020,2,"AZ",0.715423529411765,0.7462,0.216246325677418,0.3609,1,0.405375,0.500875,0.90625
"205",2020,2,"CA",0.703708139534884,0.69815,0.201704790188166,0.3212,1,0.3213,0.54165,0.86295
"206",2020,2,"CO",0.703808,0.6667,0.191437785629344,0.3397,1,0.3118,0.581,0.8928
"207",2020,2,"CT",0.685847058823529,0.6595,0.204985173603017,0.412,1,0.4003,0.5256,0.9259
"208",2020,2,"DC",0.8288,0.8429,0.0892889130855562,0.7333,0.9102,0.0884499999999999,0.7881,0.87655
"209",2020,2,"FL",0.722743697478992,0.7673,0.202247185829725,0.323,1,0.3761,0.53125,0.90735
"210",2020,2,"GA",0.636784210526316,0.57755,0.191612402304568,0.3237,1,0.241725,0.502725,0.74445
