"","year","quarter","statecode1","mean.passengers","median.passengers","sd.passengers","min.passengers","max.passengers","iqr.passengers","q1.passengers","q3.passengers"
"170",2020,1,"IA",78.5416666666667,65.5,93.2224917657455,0,433,90.5,14.75,105.25
"171",2020,1,"ID",128.416666666667,107,108.245897115892,29,342,95.75,46.5,142.25
"172",2020,1,"IL",445.270072992701,201,604.09999298482,0,3435,537,68,605
"173",2020,1,"IN",196.954545454545,141,176.165365298449,3,530,291.5,50.5,342
"174",2020,1,"KY",96.5384615384615,123,79.1271291284005,3,195,149,10,159
"175",2020,1,"LA",338.071428571429,357.5,260.574945452939,2,753,437.75,124,561.75
"176",2020,1,"MA",283.327683615819,49,498.858475298346,0,2609,277,19,296
"177",2020,1,"ME",98.6666666666667,117.5,65.1173300025935,15,169,101,43.75,144.75
"178",2020,1,"MI",274.266666666667,105,379.145714372816,1,1516,288,29,317
"179",2020,1,"MN",540.571428571429,285,723.962357105322,5,2724,589.75,89.5,679.25
"180",2020,1,"MO",215.5,157,209.683046524987,4,714,356.5,38.5,395
"181",2020,1,"MT",49.7142857142857,30,44.1351570509508,3,123,72.5,20.25,92.75
"182",2020,1,"NC",262.021739130435,137,273.002603905403,1,1146,388.5,48.75,437.25
"183",2020,1,"ND",150.333333333333,153,127.518887489919,8,344,162,48.75,210.75
"184",2020,1,"NE",123.3,50.5,167.256323580837,19,566,78.25,39.75,118
"185",2020,1,"NJ",238,238,NA,238,238,0,238,238
"186",2020,1,"NM",124.833333333333,95.5,129.878761749653,0,517,98.25,50.75,149
"187",2020,1,"NV",665.148148148148,625,646.210712461721,3,2305,839.5,113.5,953
"188",2020,1,"NY",223.538812785388,66,474.874229704157,0,3280,166.5,4,170.5
"189",2020,1,"OH",156.131386861314,63,187.108879026524,0,871,243,13,256
"190",2020,1,"OK",138.75,132.5,92.0737928692705,49,241,135.75,67.75,203.5
"191",2020,1,"OR",200.631578947368,83,311.313027625878,1,1069,164,14.5,178.5
"192",2020,1,"PA",274.4,74,361.510481966192,20,1191,334.5,51,385.5
"193",2020,1,"SC",87.6739130434783,56.5,98.0952041749524,0,426,137.5,8.25,145.75
"194",2020,1,"TN",166.4,122,206.723003074162,0,965,180.75,16.75,197.5
"195",2020,1,"TX",306.370503597122,186.5,351.545534680127,0,2414,322.75,79.5,402.25
"196",2020,1,"UT",439,357,198.154821625247,201,736,285.5,302,587.5
"197",2020,1,"VA",109.333333333333,40,114.569847691266,17,319,125,26,151
"198",2020,1,"VT",62.1428571428571,49,53.9766263347033,0,141,71.5,25.5,97
"199",2020,1,"WA",197.916666666667,175,169.261206602712,1,520,215.75,70.5,286.25
"200",2020,1,"WI",139.047619047619,39,205.779123380015,0,840,173,4,177
"201",2020,1,"WY",35.6,10,51.1624862570223,0,132,42.5,2,44.5
"202",2020,2,"AL",20.1111111111111,14.5,19.0321365648269,0,60,21,5.5,26.5
"203",2020,2,"AR",9.875,6,11.8374406017517,0,36,6.25,3.5,9.75
"204",2020,2,"AZ",113.382352941176,64.5,152.749153587078,4,814,131,23,154
"205",2020,2,"CA",49.0077519379845,17,83.0680651130093,0,601,46.75,5,51.75
"206",2020,2,"CO",138.2,120,133.394777508966,0,579,115,46,161
"207",2020,2,"CT",31.5882352941176,12,41.4654356415217,0,143,29,5,34
"208",2020,2,"DC",50.6666666666667,57,35.9212100761282,12,83,35.5,34.5,70
"209",2020,2,"FL",54.7142857142857,27,69.0233493847593,0,336,54,12,66
"210",2020,2,"GA",144,123,141.802870401322,0,585,213.5,11.25,224.75
"211",2020,2,"IA",19.8181818181818,11,20.4734861800241,0,69,17.5,7.5,25
"212",2020,2,"ID",32.0625,29.5,26.8662582681946,3,105,24.5,12.25,36.75
"213",2020,2,"IL",77.4112903225806,40.5,98.9338295817963,0,619,71.75,16.75,88.5
"214",2020,2,"IN",37.037037037037,25,44.4214791094106,0,188,31,10,41
"215",2020,2,"KY",19.7142857142857,17.5,14.0243117008044,1,46,20.75,9.25,30
"216",2020,2,"LA",33.6923076923077,32,23.2356931443294,0,72,35,15,50
"217",2020,2,"MA",35.8588957055215,12,58.7568621997731,0,319,29,5,34
"218",2020,2,"ME",16.6666666666667,14.5,12.4846572506684,3,34,18.75,7,25.75
"219",2020,2,"MI",56.7941176470588,31.5,72.0377760377886,1,274,55.25,8.5,63.75
"220",2020,2,"MN",90.5833333333333,63.5,124.006934068098,1,454,71,21.25,92.25
"221",2020,2,"MO",39.8148148148148,25,41.9037698295264,0,171,42,9.5,51.5
"222",2020,2,"MT",15,15,8.48528137423857,9,21,6,12,18
"223",2020,2,"NC",55.4,31,55.1491027072224,0,195,73,12,85
"224",2020,2,"ND",20.1666666666667,17,18.0379230142128,2,47,25.5,5.75,31.25
"225",2020,2,"NE",30.7142857142857,13,39.6262298892803,5,117,23,8.5,31.5
