"","year","quarter","lms_carrier_name","mean.passengers","median.passengers","sd.passengers","min.passengers","max.passengers","iqr.passengers","q1.passengers","q3.passengers"
"160",2022,4,"Spirit Airlines, Inc.",294.961538461538,260.5,244.897608117226,40,957,301,98.5,399.5
"161",2022,4,"Sun Country Airlines",47.6666666666667,0,87.0899917709645,0,216,52.5,0,52.5
"162",2022,4,"United Air Lines, Inc.",595.986710963455,281,797.942742195712,0,4710,542,136,678
"163",2023,1,"Alaska Airlines, Inc.",802.02,524,791.955845244119,38,3638,755.75,255.75,1011.5
"164",2023,1,"Allegiant Air LLC ",131.410714285714,102,94.7835384222606,0,389,126.75,63.25,190
"165",2023,1,"American Airlines, Inc.",311.208955223881,118,527.539664167596,0,3688,295,24,319
"166",2023,1,"Casino Express",145.75,123,114.232532268927,31,325,156,51.5,207.5
"167",2023,1,"Compania Mexicana De Aviaci",75.9230769230769,45,72.8531188287565,6,220,69,27,96
"168",2023,1,"Delta Air Lines, Inc.",507.012931034483,198.5,735.381124384127,0,5320,657.5,22.5,680
"169",2023,1,"Frontier Airlines, Inc.",417.84375,237,472.124580973791,0,1669,790,0.75,790.75
"170",2023,1,"Jetblue Airways Corporation",867.266666666667,530,907.068553286002,0,4007,841.5,261,1102.5
"171",2023,1,"Southwest Airlines",257.697151424288,100,387.078036891174,0,3363,299.5,29,328.5
"172",2023,1,"Spirit Airlines, Inc.",335.92,252,243.389078089657,10,858,265,183,448
"173",2023,1,"Sun Country Airlines",202,202,104.651803615609,128,276,74,165,239
"174",2023,1,"United Air Lines, Inc.",547.121527777778,238,757.612536336604,1,4478,465.25,116.75,582
"175",2023,2,"Alaska Airlines, Inc.",927.520833333333,552.5,897.384663117936,1,4006,1017,286.25,1303.25
"176",2023,2,"Allegiant Air LLC ",127.421052631579,107,83.716773231538,0,336,117,72,189
"177",2023,2,"American Airlines, Inc.",381.911627906977,164.5,612.377134133804,0,5130,389.25,32,421.25
"178",2023,2,"Casino Express",171.333333333333,210,117.278514656351,15,308,190,65,255
"179",2023,2,"Compania Mexicana De Aviaci",146.470588235294,115,101.590752172214,13,395,127,65.5,192.5
"180",2023,2,"Delta Air Lines, Inc.",602.172995780591,270,886.86146737725,0,6554,786,24,810
"181",2023,2,"Frontier Airlines, Inc.",287.666666666667,136,376.897173200684,0,1505,454,1,455
"182",2023,2,"Jetblue Airways Corporation",870.365853658537,537,847.221173218952,49,3679,736.25,319.75,1056
"183",2023,2,"Southwest Airlines",293.399135446686,117.5,418.943669977206,0,3213,344.5,38.25,382.75
"184",2023,2,"Spirit Airlines, Inc.",438.586206896552,380,298.638280634112,77,1334,317,241,558
"185",2023,2,"Sun Country Airlines",48,54,45.2990066116245,0,90,45,27,72
"186",2023,2,"United Air Lines, Inc.",698.040293040293,312,903.760506725958,1,5313,611,176,787
"187",2023,3,"Alaska Airlines, Inc.",916.979591836735,513,971.951098088186,2,4490,1219,232,1451
"188",2023,3,"Allegiant Air LLC ",111.907407407407,109.5,74.8541395531736,5,305,124,44.25,168.25
