"","year","quarter","lms_carrier_name","mean.miles","median.miles","sd.miles","min.miles","max.miles","iqr.miles","q1.miles","q3.miles"
"163",2023,1,"Alaska Airlines, Inc.",1463.58,1058,824.502944636516,372,2724,1608,744.25,2352.25
"164",2023,1,"Allegiant Air LLC ",948.053571428571,968.5,292.952643994514,276,1574,370.5,744.5,1115
"165",2023,1,"American Airlines, Inc.",1306.86780383795,1180,742.273778890723,190,2704,1447,640,2087
"166",2023,1,"Casino Express",785.75,763.5,224.459827777075,433,1126,214.5,661.25,875.75
"167",2023,1,"Compania Mexicana De Aviaci",949.615384615385,748,593.440047303508,318,2510,261,666,927
"168",2023,1,"Delta Air Lines, Inc.",1169.83620689655,950,703.601642804349,209,2704,1257.75,604.25,1862
"169",2023,1,"Frontier Airlines, Inc.",1444.8125,1168,599.482058032787,575,2510,986,989,1975
"170",2023,1,"Jetblue Airways Corporation",1268.93333333333,1118,675.623742508685,234,2611,571.5,859,1430.5
"171",2023,1,"Southwest Airlines",1151.27886056972,1012,640.29257357686,190,2704,889.5,672.5,1562
"172",2023,1,"Spirit Airlines, Inc.",1162.52,1020,607.448359945107,192,2608,664,812,1476
"173",2023,1,"Sun Country Airlines",1291.5,1291.5,21.920310216783,1276,1307,15.5,1283.75,1299.25
"174",2023,1,"United Air Lines, Inc.",1144.75347222222,946,696.619536571826,192,2704,1136.75,577,1713.75
"175",2023,2,"Alaska Airlines, Inc.",1295.79166666667,978,750.815385369667,372,2724,1287.25,738.5,2025.75
"176",2023,2,"Allegiant Air LLC ",939.982456140351,927,359.405634904355,276,1984,434,677,1111
"177",2023,2,"American Airlines, Inc.",1211.92790697674,1051,713.581195797373,190,2704,1243.5,599.5,1843
"178",2023,2,"Casino Express",774.888888888889,751,212.476142451596,433,1126,150,662,812
"179",2023,2,"Compania Mexicana De Aviaci",1126,750,775.867608200359,318,2611,1311,575.5,1886.5
"180",2023,2,"Delta Air Lines, Inc.",1173.62447257384,983,705.435169149605,209,2700,1065,606,1671
"181",2023,2,"Frontier Airlines, Inc.",1536.93939393939,1465,608.560747758284,601,2619,1056,989,2045
